2025-04-15 19:14:49,847 p=28414 u=shaeif n=ansible INFO| [DEPRECATION WARNING]: [defaults]collections_paths option. Reason: does not fit var naming standard, use the singular form collections_path instead Alternatives: none. 
This feature will be removed in version 2.19. Deprecation warnings can be disabled by setting deprecation_warnings=False in ansible.cfg.
2025-04-15 19:17:29,901 p=30675 u=shaeif n=ansible INFO| [DEPRECATION WARNING]: [defaults]collections_paths option. Reason: does not fit var 
naming standard, use the singular form collections_path instead Alternatives: none. 
This feature will be removed in version 2.19. Deprecation warnings can be disabled 
by setting deprecation_warnings=False in ansible.cfg.
2025-04-15 19:17:30,046 p=30675 u=shaeif n=ansible WARNING| [WARNING]: Unable to parse /home/shaeif/Downloads/ansible_portable/inventory as an
inventory source

2025-04-15 19:17:30,046 p=30675 u=shaeif n=ansible WARNING| [WARNING]: No inventory was parsed, only implicit localhost is available

2025-04-15 19:17:30,347 p=30675 u=shaeif n=ansible INFO| localhost | FAILED! => {
    "changed": false,
    "module_stderr": "sudo: a password is required\n",
    "module_stdout": "",
    "msg": "MODULE FAILURE: No start of json char found\nSee stdout/stderr for the exact error",
    "rc": 1
}
2025-04-15 19:17:45,554 p=30898 u=shaeif n=ansible INFO| [DEPRECATION WARNING]: [defaults]collections_paths option. Reason: does not fit var 
naming standard, use the singular form collections_path instead Alternatives: none. 
This feature will be removed in version 2.19. Deprecation warnings can be disabled 
by setting deprecation_warnings=False in ansible.cfg.
2025-04-15 19:18:10,631 p=31228 u=shaeif n=ansible INFO| [DEPRECATION WARNING]: [defaults]collections_paths option. Reason: does not fit var 
naming standard, use the singular form collections_path instead Alternatives: none. 
This feature will be removed in version 2.19. Deprecation warnings can be disabled 
by setting deprecation_warnings=False in ansible.cfg.
2025-04-15 19:21:48,624 p=34032 u=shaeif n=ansible INFO| [DEPRECATION WARNING]: [defaults]collections_paths option. Reason: does not fit var 
naming standard, use the singular form collections_path instead Alternatives: none. 
This feature will be removed in version 2.19. Deprecation warnings can be disabled 
by setting deprecation_warnings=False in ansible.cfg.
2025-04-15 19:25:06,060 p=36593 u=shaeif n=ansible INFO| [DEPRECATION WARNING]: [defaults]collections_paths option. Reason: does not fit var naming standard, use the singular form collections_path instead Alternatives: none. 
This feature will be removed in version 2.19. Deprecation warnings can be disabled by setting deprecation_warnings=False in ansible.cfg.
2025-04-15 19:26:30,545 p=37718 u=shaeif n=ansible INFO| [DEPRECATION WARNING]: [defaults]collections_paths option. Reason: does not fit var naming standard, use the singular form collections_path instead Alternatives: none. 
This feature will be removed in version 2.19. Deprecation warnings can be disabled by setting deprecation_warnings=False in ansible.cfg.
2025-04-15 19:26:37,608 p=37790 u=shaeif n=ansible INFO| [DEPRECATION WARNING]: [defaults]collections_paths option. Reason: does not fit var naming standard, use the singular form collections_path instead Alternatives: none. 
This feature will be removed in version 2.19. Deprecation warnings can be disabled by setting deprecation_warnings=False in ansible.cfg.
2025-04-15 19:26:53,711 p=38000 u=shaeif n=ansible INFO| [DEPRECATION WARNING]: [defaults]collections_paths option. Reason: does not fit var naming standard, use the singular form collections_path instead Alternatives: none. 
This feature will be removed in version 2.19. Deprecation warnings can be disabled by setting deprecation_warnings=False in ansible.cfg.
2025-04-15 19:35:27,697 p=44740 u=shaeif n=ansible INFO| [DEPRECATION WARNING]: [defaults]collections_paths option. Reason: does not fit var naming standard, use the singular form collections_path instead Alternatives: none. 
This feature will be removed in version 2.19. Deprecation warnings can be disabled by setting deprecation_warnings=False in ansible.cfg.
2025-04-15 19:37:12,490 p=46113 u=shaeif n=ansible INFO| [DEPRECATION WARNING]: [defaults]collections_paths option. Reason: does not fit var naming standard, use the singular form collections_path instead Alternatives: none. 
This feature will be removed in version 2.19. Deprecation warnings can be disabled by setting deprecation_warnings=False in ansible.cfg.
2025-04-15 19:42:25,073 p=50179 u=shaeif n=ansible INFO| [DEPRECATION WARNING]: [defaults]collections_paths option. Reason: does not fit var naming standard, use the singular form collections_path instead Alternatives: none. 
This feature will be removed in version 2.19. Deprecation warnings can be disabled by setting deprecation_warnings=False in ansible.cfg.
2025-04-15 19:43:18,671 p=50876 u=shaeif n=ansible INFO| [DEPRECATION WARNING]: [defaults]collections_paths option. Reason: does not fit var naming standard, use the singular form collections_path instead Alternatives: none. 
This feature will be removed in version 2.19. Deprecation warnings can be disabled by setting deprecation_warnings=False in ansible.cfg.
2025-04-15 19:43:57,829 p=51451 u=shaeif n=ansible INFO| [DEPRECATION WARNING]: [defaults]collections_paths option. Reason: does not fit var naming standard, use the singular form collections_path instead Alternatives: none. 
This feature will be removed in version 2.19. Deprecation warnings can be disabled by setting deprecation_warnings=False in ansible.cfg.
2025-04-15 19:48:04,105 p=54814 u=shaeif n=ansible INFO| [DEPRECATION WARNING]: [defaults]collections_paths option. Reason: does not fit var naming standard, use the singular form collections_path instead Alternatives: none. 
This feature will be removed in version 2.19. Deprecation warnings can be disabled by setting deprecation_warnings=False in ansible.cfg.
2025-04-15 19:49:54,773 p=56261 u=shaeif n=ansible INFO| [DEPRECATION WARNING]: [defaults]collections_paths option. Reason: does not fit var naming standard, use the singular form collections_path instead Alternatives: none. 
This feature will be removed in version 2.19. Deprecation warnings can be disabled by setting deprecation_warnings=False in ansible.cfg.
2025-04-15 19:49:58,850 p=56331 u=shaeif n=ansible INFO| [DEPRECATION WARNING]: [defaults]collections_paths option. Reason: does not fit var naming standard, use the singular form collections_path instead Alternatives: none. 
This feature will be removed in version 2.19. Deprecation warnings can be disabled by setting deprecation_warnings=False in ansible.cfg.
2025-04-15 19:50:12,596 p=56500 u=shaeif n=ansible INFO| [DEPRECATION WARNING]: [defaults]collections_paths option. Reason: does not fit var naming standard, use the singular form collections_path instead Alternatives: none. 
This feature will be removed in version 2.19. Deprecation warnings can be disabled by setting deprecation_warnings=False in ansible.cfg.
2025-04-15 19:50:15,525 p=56562 u=shaeif n=ansible INFO| [DEPRECATION WARNING]: [defaults]collections_paths option. Reason: does not fit var naming standard, use the singular form collections_path instead Alternatives: none. 
This feature will be removed in version 2.19. Deprecation warnings can be disabled by setting deprecation_warnings=False in ansible.cfg.
2025-04-15 19:50:15,643 p=56562 u=shaeif n=ansible INFO| # /home/shaeif/Downloads/ansible_portable/ansible_py/lib/python3.12/site-packages/ansible_collections
Collection                               Version
---------------------------------------- -------

2025-04-15 19:50:15,643 p=56562 u=shaeif n=ansible INFO| amazon.aws                               9.3.0  
2025-04-15 19:50:15,643 p=56562 u=shaeif n=ansible INFO| ansible.netcommon                        7.1.0  
2025-04-15 19:50:15,643 p=56562 u=shaeif n=ansible INFO| ansible.posix                            1.6.2  
2025-04-15 19:50:15,643 p=56562 u=shaeif n=ansible INFO| ansible.utils                            5.1.2  
2025-04-15 19:50:15,643 p=56562 u=shaeif n=ansible INFO| ansible.windows                          2.8.0  
2025-04-15 19:50:15,643 p=56562 u=shaeif n=ansible INFO| arista.eos                               10.1.1 
2025-04-15 19:50:15,643 p=56562 u=shaeif n=ansible INFO| awx.awx                                  24.6.1 
2025-04-15 19:50:15,643 p=56562 u=shaeif n=ansible INFO| azure.azcollection                       3.3.1  
2025-04-15 19:50:15,643 p=56562 u=shaeif n=ansible INFO| check_point.mgmt                         6.4.0  
2025-04-15 19:50:15,643 p=56562 u=shaeif n=ansible INFO| chocolatey.chocolatey                    1.5.3  
2025-04-15 19:50:15,643 p=56562 u=shaeif n=ansible INFO| cisco.aci                                2.10.1 
2025-04-15 19:50:15,643 p=56562 u=shaeif n=ansible INFO| cisco.asa                                6.1.0  
2025-04-15 19:50:15,643 p=56562 u=shaeif n=ansible INFO| cisco.dnac                               6.31.0 
2025-04-15 19:50:15,644 p=56562 u=shaeif n=ansible INFO| cisco.intersight                         2.0.20 
2025-04-15 19:50:15,644 p=56562 u=shaeif n=ansible INFO| cisco.ios                                9.1.2  
2025-04-15 19:50:15,644 p=56562 u=shaeif n=ansible INFO| cisco.iosxr                              10.3.0 
2025-04-15 19:50:15,644 p=56562 u=shaeif n=ansible INFO| cisco.ise                                2.10.0 
2025-04-15 19:50:15,644 p=56562 u=shaeif n=ansible INFO| cisco.meraki                             2.20.8 
2025-04-15 19:50:15,644 p=56562 u=shaeif n=ansible INFO| cisco.mso                                2.9.0  
2025-04-15 19:50:15,644 p=56562 u=shaeif n=ansible INFO| cisco.nxos                               9.3.0  
2025-04-15 19:50:15,644 p=56562 u=shaeif n=ansible INFO| cisco.ucs                                1.15.0 
2025-04-15 19:50:15,644 p=56562 u=shaeif n=ansible INFO| cloud.common                             4.0.0  
2025-04-15 19:50:15,644 p=56562 u=shaeif n=ansible INFO| cloudscale_ch.cloud                      2.4.1  
2025-04-15 19:50:15,644 p=56562 u=shaeif n=ansible INFO| community.aws                            9.1.0  
2025-04-15 19:50:15,644 p=56562 u=shaeif n=ansible INFO| community.ciscosmb                       1.0.10 
2025-04-15 19:50:15,644 p=56562 u=shaeif n=ansible INFO| community.crypto                         2.26.0 
2025-04-15 19:50:15,644 p=56562 u=shaeif n=ansible INFO| community.digitalocean                   1.27.0 
2025-04-15 19:50:15,644 p=56562 u=shaeif n=ansible INFO| community.dns                            3.2.2  
2025-04-15 19:50:15,644 p=56562 u=shaeif n=ansible INFO| community.docker                         4.5.2  
2025-04-15 19:50:15,644 p=56562 u=shaeif n=ansible INFO| community.general                        10.5.0 
2025-04-15 19:50:15,644 p=56562 u=shaeif n=ansible INFO| community.grafana                        2.1.0  
2025-04-15 19:50:15,644 p=56562 u=shaeif n=ansible INFO| community.hashi_vault                    6.2.0  
2025-04-15 19:50:15,644 p=56562 u=shaeif n=ansible INFO| community.hrobot                         2.2.0  
2025-04-15 19:50:15,644 p=56562 u=shaeif n=ansible INFO| community.library_inventory_filtering_v1 1.0.2  
2025-04-15 19:50:15,644 p=56562 u=shaeif n=ansible INFO| community.libvirt                        1.3.1  
2025-04-15 19:50:15,645 p=56562 u=shaeif n=ansible INFO| community.mongodb                        1.7.9  
2025-04-15 19:50:15,645 p=56562 u=shaeif n=ansible INFO| community.mysql                          3.13.0 
2025-04-15 19:50:15,645 p=56562 u=shaeif n=ansible INFO| community.network                        5.1.0  
2025-04-15 19:50:15,645 p=56562 u=shaeif n=ansible INFO| community.okd                            4.0.1  
2025-04-15 19:50:15,645 p=56562 u=shaeif n=ansible INFO| community.postgresql                     3.12.0 
2025-04-15 19:50:15,645 p=56562 u=shaeif n=ansible INFO| community.proxysql                       1.6.0  
2025-04-15 19:50:15,645 p=56562 u=shaeif n=ansible INFO| community.rabbitmq                       1.4.0  
2025-04-15 19:50:15,645 p=56562 u=shaeif n=ansible INFO| community.routeros                       3.5.0  
2025-04-15 19:50:15,645 p=56562 u=shaeif n=ansible INFO| community.sap_libs                       1.4.2  
2025-04-15 19:50:15,645 p=56562 u=shaeif n=ansible INFO| community.sops                           2.0.3  
2025-04-15 19:50:15,645 p=56562 u=shaeif n=ansible INFO| community.vmware                         5.5.0  
2025-04-15 19:50:15,645 p=56562 u=shaeif n=ansible INFO| community.windows                        2.4.0  
2025-04-15 19:50:15,645 p=56562 u=shaeif n=ansible INFO| community.zabbix                         3.3.0  
2025-04-15 19:50:15,645 p=56562 u=shaeif n=ansible INFO| containers.podman                        1.16.3 
2025-04-15 19:50:15,645 p=56562 u=shaeif n=ansible INFO| cyberark.conjur                          1.3.3  
2025-04-15 19:50:15,645 p=56562 u=shaeif n=ansible INFO| cyberark.pas                             1.0.30 
2025-04-15 19:50:15,645 p=56562 u=shaeif n=ansible INFO| dellemc.enterprise_sonic                 2.5.1  
2025-04-15 19:50:15,645 p=56562 u=shaeif n=ansible INFO| dellemc.openmanage                       9.10.0 
2025-04-15 19:50:15,645 p=56562 u=shaeif n=ansible INFO| dellemc.powerflex                        2.6.0  
2025-04-15 19:50:15,645 p=56562 u=shaeif n=ansible INFO| dellemc.unity                            2.0.0  
2025-04-15 19:50:15,646 p=56562 u=shaeif n=ansible INFO| f5networks.f5_modules                    1.34.1 
2025-04-15 19:50:15,646 p=56562 u=shaeif n=ansible INFO| fortinet.fortimanager                    2.9.1  
2025-04-15 19:50:15,646 p=56562 u=shaeif n=ansible INFO| fortinet.fortios                         2.3.9  
2025-04-15 19:50:15,646 p=56562 u=shaeif n=ansible INFO| google.cloud                             1.5.1  
2025-04-15 19:50:15,646 p=56562 u=shaeif n=ansible INFO| grafana.grafana                          5.7.0  
2025-04-15 19:50:15,646 p=56562 u=shaeif n=ansible INFO| hetzner.hcloud                           4.3.0  
2025-04-15 19:50:15,646 p=56562 u=shaeif n=ansible INFO| ibm.qradar                               4.0.0  
